league_id,season,stratum,week,roster_id,active_capacity,baseline_size,qb_pool,rb_pool,budget8_feasible,budget9_feasible
969999751733186560,2023,1QB,15,3,24,23,1,4,False,False
969999751733186560,2023,1QB,15,4,24,18,1,5,False,False
969999751733186560,2023,1QB,15,5,24,21,0,4,False,False
969999751733186560,2023,1QB,15,6,24,22,1,2,False,False
969999751733186560,2023,1QB,15,7,24,20,3,2,False,False
969999751733186560,2023,1QB,15,8,24,20,2,2,False,False
969999751733186560,2023,1QB,15,9,24,22,4,3,False,False
969999751733186560,2023,1QB,15,10,24,21,5,4,False,False
969999751733186560,2023,1QB,15,11,24,22,1,6,False,False
969999751733186560,2023,1QB,15,12,24,19,1,4,False,False
1048204852251164672,2024,1QB,4,1,24,17,2,2,False,False
1048204852251164672,2024,1QB,4,2,24,20,1,1,False,False
1048204852251164672,2024,1QB,4,3,24,18,2,4,False,False
1048204852251164672,2024,1QB,4,4,24,21,0,9,False,False
1048204852251164672,2024,1QB,4,5,24,19,0,0,False,False
1048204852251164672,2024,1QB,4,6,24,19,3,4,False,False
1048204852251164672,2024,1QB,4,7,24,20,1,1,False,False
1048204852251164672,2024,1QB,4,8,24,15,1,5,False,False
1048204852251164672,2024,1QB,4,9,24,16,4,2,False,False
1048204852251164672,2024,1QB,4,10,24,20,2,5,False,False
1048204852251164672,2024,1QB,4,11,24,18,3,4,False,False
1048204852251164672,2024,1QB,4,12,24,17,0,3,False,False
1048204852251164672,2024,1QB,5,1,24,18,2,1,False,False
1048204852251164672,2024,1QB,5,2,24,18,1,1,False,False
1048204852251164672,2024,1QB,5,3,24,20,2,2,False,False
1048204852251164672,2024,1QB,5,4,24,19,1,10,False,False
1048204852251164672,2024,1QB,5,5,24,20,0,0,False,False
1048204852251164672,2024,1QB,5,6,24,20,3,4,False,False
1048204852251164672,2024,1QB,5,7,24,21,1,1,False,False
1048204852251164672,2024,1QB,5,8,24,16,1,5,False,False
1048204852251164672,2024,1QB,5,9,24,15,4,2,False,False
1048204852251164672,2024,1QB,5,10,24,21,2,5,False,False
1048204852251164672,2024,1QB,5,11,24,19,3,4,False,False
1048204852251164672,2024,1QB,5,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,6,1,24,19,1,1,False,False
1048204852251164672,2024,1QB,6,2,24,18,1,1,False,False
1048204852251164672,2024,1QB,6,3,24,24,1,2,False,False
1048204852251164672,2024,1QB,6,4,24,20,1,9,False,False
1048204852251164672,2024,1QB,6,5,24,21,0,0,False,False
1048204852251164672,2024,1QB,6,6,24,22,3,3,False,False
1048204852251164672,2024,1QB,6,7,24,21,1,1,False,False
1048204852251164672,2024,1QB,6,8,24,18,1,4,False,False
1048204852251164672,2024,1QB,6,9,24,17,3,2,False,False
1048204852251164672,2024,1QB,6,10,24,22,3,5,False,False
1048204852251164672,2024,1QB,6,11,24,21,2,3,False,False
1048204852251164672,2024,1QB,6,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,7,1,24,20,1,1,False,False
1048204852251164672,2024,1QB,7,2,24,20,0,1,False,False
1048204852251164672,2024,1QB,7,3,24,22,1,3,False,False
1048204852251164672,2024,1QB,7,4,24,21,0,8,False,False
1048204852251164672,2024,1QB,7,5,24,22,0,0,False,False
1048204852251164672,2024,1QB,7,6,24,22,3,3,False,False
1048204852251164672,2024,1QB,7,7,24,21,1,1,False,False
1048204852251164672,2024,1QB,7,8,24,18,2,3,False,False
1048204852251164672,2024,1QB,7,9,24,18,3,2,False,False
1048204852251164672,2024,1QB,7,10,24,23,3,4,False,False
1048204852251164672,2024,1QB,7,11,24,22,2,3,False,False
1048204852251164672,2024,1QB,7,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,8,1,24,22,1,0,False,False
1048204852251164672,2024,1QB,8,2,24,21,0,1,False,False
1048204852251164672,2024,1QB,8,3,24,25,1,2,False,False
1048204852251164672,2024,1QB,8,4,24,20,0,8,False,False
1048204852251164672,2024,1QB,8,5,24,19,1,2,False,False
1048204852251164672,2024,1QB,8,6,24,18,3,3,False,False
1048204852251164672,2024,1QB,8,7,24,21,1,2,False,False
1048204852251164672,2024,1QB,8,8,24,19,2,4,False,False
1048204852251164672,2024,1QB,8,9,24,19,3,2,False,False
1048204852251164672,2024,1QB,8,10,24,24,3,3,False,False
1048204852251164672,2024,1QB,8,11,24,21,2,3,False,False
1048204852251164672,2024,1QB,8,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,9,1,24,20,1,1,False,False
1048204852251164672,2024,1QB,9,2,24,22,0,1,False,False
1048204852251164672,2024,1QB,9,3,24,26,1,2,False,False
1048204852251164672,2024,1QB,9,4,24,21,0,7,False,False
1048204852251164672,2024,1QB,9,5,24,19,0,2,False,False
1048204852251164672,2024,1QB,9,6,24,21,2,2,False,False
1048204852251164672,2024,1QB,9,7,24,20,1,4,False,False
1048204852251164672,2024,1QB,9,8,24,19,2,4,False,False
1048204852251164672,2024,1QB,9,9,24,19,3,2,False,False
1048204852251164672,2024,1QB,9,10,24,22,4,3,False,False
1048204852251164672,2024,1QB,9,11,24,20,1,3,False,False
1048204852251164672,2024,1QB,9,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,10,1,24,20,1,1,False,False
1048204852251164672,2024,1QB,10,2,24,22,0,1,False,False
1048204852251164672,2024,1QB,10,3,24,23,1,2,False,False
1048204852251164672,2024,1QB,10,4,24,21,0,7,False,False
1048204852251164672,2024,1QB,10,5,24,19,0,2,False,False
1048204852251164672,2024,1QB,10,6,24,23,2,2,False,False
1048204852251164672,2024,1QB,10,7,24,23,1,3,False,False
1048204852251164672,2024,1QB,10,8,24,18,2,4,False,False
1048204852251164672,2024,1QB,10,9,24,20,4,2,False,False
1048204852251164672,2024,1QB,10,10,24,23,3,4,False,False
1048204852251164672,2024,1QB,10,11,24,20,1,3,False,False
1048204852251164672,2024,1QB,10,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,11,1,24,20,2,1,False,False
1048204852251164672,2024,1QB,11,2,24,23,0,1,False,False
1048204852251164672,2024,1QB,11,3,24,23,1,2,False,False
1048204852251164672,2024,1QB,11,4,24,19,1,5,False,False
1048204852251164672,2024,1QB,11,5,24,20,0,2,False,False
1048204852251164672,2024,1QB,11,6,24,22,2,3,False,False
1048204852251164672,2024,1QB,11,7,24,22,1,3,False,False
1048204852251164672,2024,1QB,11,8,24,19,2,4,False,False
1048204852251164672,2024,1QB,11,9,24,19,4,2,False,False
1048204852251164672,2024,1QB,11,10,24,26,2,4,False,False
1048204852251164672,2024,1QB,11,11,24,22,1,4,False,False
1048204852251164672,2024,1QB,11,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,12,1,24,20,2,1,False,False
1048204852251164672,2024,1QB,12,2,24,23,0,2,False,False
1048204852251164672,2024,1QB,12,3,24,23,1,2,False,False
1048204852251164672,2024,1QB,12,4,24,18,1,7,False,False
1048204852251164672,2024,1QB,12,5,24,19,1,2,False,False
1048204852251164672,2024,1QB,12,6,24,21,2,4,False,False
1048204852251164672,2024,1QB,12,7,24,23,1,1,False,False
1048204852251164672,2024,1QB,12,8,24,17,2,6,False,False
1048204852251164672,2024,1QB,12,9,24,18,4,2,False,False
1048204852251164672,2024,1QB,12,10,24,25,2,4,False,False
1048204852251164672,2024,1QB,12,11,24,23,1,4,False,False
1048204852251164672,2024,1QB,12,12,24,18,0,3,False,False
1048204852251164672,2024,1QB,13,1,24,18,2,1,False,False
1048204852251164672,2024,1QB,13,2,24,23,0,1,False,False
1048204852251164672,2024,1QB,13,3,24,21,1,2,False,False
1048204852251164672,2024,1QB,13,4,24,18,1,6,False,False
1048204852251164672,2024,1QB,13,5,24,18,1,2,False,False
1048204852251164672,2024,1QB,13,6,24,19,2,4,False,False
1048204852251164672,2024,1QB,13,7,24,21,1,1,False,False
1048204852251164672,2024,1QB,13,8,24,18,1,7,False,False
1048204852251164672,2024,1QB,13,9,24,17,4,1,False,False
1048204852251164672,2024,1QB,13,10,24,21,3,4,False,False
1048204852251164672,2024,1QB,13,11,24,24,1,4,False,False
1048204852251164672,2024,1QB,13,12,24,18,0,2,False,False
1048204852251164672,2024,1QB,14,1,24,17,1,3,False,False
1048204852251164672,2024,1QB,14,2,24,22,0,1,False,False
1048204852251164672,2024,1QB,14,3,24,21,1,2,False,False
1048204852251164672,2024,1QB,14,4,24,17,1,6,False,False
1048204852251164672,2024,1QB,14,5,24,18,1,2,False,False
1048204852251164672,2024,1QB,14,6,24,19,2,5,False,False
1048204852251164672,2024,1QB,14,7,24,21,1,1,False,False
1048204852251164672,2024,1QB,14,8,24,19,1,6,False,False
1048204852251164672,2024,1QB,14,9,24,17,4,1,False,False
1048204852251164672,2024,1QB,14,10,24,22,3,3,False,False
1048204852251164672,2024,1QB,14,11,24,25,1,4,False,False
1048204852251164672,2024,1QB,14,12,24,18,0,2,False,False
1048204852251164672,2024,1QB,15,1,24,19,1,2,False,False
1048204852251164672,2024,1QB,15,2,24,21,1,1,False,False
1048204852251164672,2024,1QB,15,3,24,21,1,3,False,False
1048204852251164672,2024,1QB,15,4,24,19,1,5,False,False
1048204852251164672,2024,1QB,15,5,24,18,1,3,False,False
1048204852251164672,2024,1QB,15,6,24,18,2,5,False,False
1048204852251164672,2024,1QB,15,7,24,25,0,2,False,False
1048204852251164672,2024,1QB,15,8,24,19,1,6,False,False
1048204852251164672,2024,1QB,15,9,24,17,4,1,False,False
1048204852251164672,2024,1QB,15,10,24,21,4,3,False,False
1048204852251164672,2024,1QB,15,11,24,23,1,4,False,False
1048204852251164672,2024,1QB,15,12,24,16,1,2,False,False
1048901308398288896,2024,1QB,4,1,25,16,2,4,False,False
1048901308398288896,2024,1QB,4,2,25,15,1,1,False,False
1048901308398288896,2024,1QB,4,3,25,18,2,6,False,False
1048901308398288896,2024,1QB,4,4,25,18,1,1,False,False
1048901308398288896,2024,1QB,4,5,25,14,2,4,False,False
1048901308398288896,2024,1QB,4,6,25,19,1,5,False,False
1048901308398288896,2024,1QB,4,7,25,20,2,3,False,False
1048901308398288896,2024,1QB,4,8,25,20,0,1,False,False
1048901308398288896,2024,1QB,4,9,25,17,4,3,False,False
1048901308398288896,2024,1QB,4,10,25,17,1,4,False,False
1048901308398288896,2024,1QB,4,11,25,16,1,7,True,False
1048901308398288896,2024,1QB,4,12,25,22,1,4,False,False
1048901308398288896,2024,1QB,5,1,25,16,2,4,False,False
1048901308398288896,2024,1QB,5,2,25,16,1,1,False,False
1048901308398288896,2024,1QB,5,3,25,19,2,6,False,False
1048901308398288896,2024,1QB,5,4,25,20,1,1,False,False
1048901308398288896,2024,1QB,5,5,25,14,2,4,False,False
1048901308398288896,2024,1QB,5,6,25,19,1,5,False,False
1048901308398288896,2024,1QB,5,7,25,22,2,2,False,False
1048901308398288896,2024,1QB,5,8,25,20,0,2,False,False
1048901308398288896,2024,1QB,5,9,25,16,5,3,True,False
